rrcDist,nLeaseRep,nLeaseDelq,nWellFlow,nWellOther,bblAllowMonth,bblAllowDelqMonth,bblReportedMonth,bblReportedDay,pctUnderProduced,pipeline,trucks,otherTrans,bblClosingStock,date
8a,4414,102,384,23236,11080312,148650,8597215,286574,21.94,6178212,2402751,1508,989445,2013-04-01
9,7838,199,888,19454,3750377,63640,1239021,41301,66.37,118131,1105004,1697,1069065,2013-04-01
1,4589,122,2364,14076,24633343,305375,10575768,341154,56.63,3309585,7203135,10352,1251942,2013-03-01
10,2902,41,474,10250,2018650,8866,1093714,35281,45.67,20404,1170958,1120,814296,2013-03-01
2,2075,41,1214,1588,16483485,252955,8003562,258179,50.91,2318466,5697461,8756,485005,2013-03-01
3,5528,208,1728,5956,4558766,100781,2439948,78708,45.7,539961,1931410,12407,962537,2013-03-01
4,1240,11,266,1332,565263,5363,277469,8951,50.58,35079,236546,2414,166585,2013-03-01
5,817,24,153,1597,305339,16244,187599,6052,36.7,27888,157259,139,130237,2013-03-01
6,3483,76,503,8105,1921419,17498,1144984,36935,40.41,405242,727789,2927,525570,2013-03-01
7b,5260,174,570,9135,1582446,29913,904343,29172,42.19,205692,700804,1480,664934,2013-03-01
7c,5618,74,864,14137,7714489,46035,3766760,121508,50.96,848689,2856123,10697,1282239,2013-03-01
8,13293,134,4850,42808,25938585,416330,14676172,473425,42.86,6419225,8194423,26021,3087466,2013-03-01
8a,4412,70,536,23058,11435894,60264,8857174,285715,22.36,6418217,2463566,1031,975790,2013-03-01
9,7711,266,889,19754,4141951,65719,1305517,42113,67.93,124338,1188668,852,1035721,2013-03-01
1,4538,111,2258,14504,21760782,445000,8493484,303339,60.25,2265034,6203831,7759,1169192,2013-02-01
10,2893,40,472,10163,2095079,17192,916040,32716,55.99,11053,826380,1226,896995,2013-02-01
2,2064,42,1154,1580,14606226,357723,6709517,239626,53.21,1624574,5065689,8563,482782,2013-02-01
3,5643,98,1783,6095,4281703,56762,2270714,81097,46.5,475843,1748967,8133,1019913,2013-02-01
4,1247,20,251,1287,520658,21784,235335,8405,53.34,31596,206004,1459,160921,2013-02-01
5,837,13,161,1661,282550,2518,161113,5754,42.67,22705,135018,108,131027,2013-02-01
6,3551,32,526,8121,1761086,12132,1006549,35949,42.84,330477,673807,3183,529771,2013-02-01
7b,5355,118,588,9286,1405166,23816,811271,28974,41.67,177949,624502,1401,674273,2013-02-01
7c,5610,57,901,13951,6422731,80332,3341413,119336,47.54,766460,2596070,7987,1220742,2013-02-01
8,13237,111,4914,42366,22435446,420280,13158293,469939,40.69,5898801,7253790,29761,3006824,2013-02-01
8a,4450,53,551,23180,10314495,37240,8054638,287666,21.78,5826973,2231555,1467,1009134,2013-02-01
9,7850,147,889,19917,3265857,42531,1148203,41007,64.39,113899,1000238,1658,1061525,2013-02-01
